pump_age,water_tech,water_source,management,district,target,risk_score,risk_pct,#lat_deg,#lon_deg,#water_point_name,#adm2
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.567635782,30.01890626,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5664249400000094,30.007958520000013,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.56179992,30.01537115,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.561304846,30.01624445,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.562244599,30.01757881,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.561629087,30.0196251,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.555904096,30.03174601,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5563862100000052,30.036172849999993,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.555658224,30.03861612,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.553966097,30.02667875,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.553415767,30.0418313,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.554888551,30.04528332,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.554697958,30.04552468,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5536798600000126,30.04640657,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.64767710000001,29.88560889999999,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5904648999999988,30.097209999999997,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.58980474,30.05369733,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.58945247,30.05336251,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.588660118,30.05675053,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5885460200000063,30.075909260000007,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.588940488,30.08184003,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.582747852,30.06118859,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5826381600000188,30.06144079999999,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5822989799999954,30.066701149999993,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.580006851,30.06945012,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5813540599999947,30.072233860000015,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.579850342,30.06959881,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5759827800000126,30.061884040000013,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5741869300000069,30.058285679999997,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5720268500000072,30.05226272999999,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.57049601,30.05985875,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.568859181,30.06066203,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5685722300000118,30.09771715000001,Rwanda,Gicumbi
